,# participantGroup_status,unknown,very low,low,moderate,high,very high,mixed,,# participantGroup_confidence,unknown,very low,low,medium,high,very high,mixed,,# participantGroup_time,unknown,very little,little,some,a lot,mixed,,# participantGroup_education,unknown,illiterate,minimal,moderate,high,very high,mixed,,# participantGroup_physicalDisabilities,unknown,none,minimal,moderate,strong,mixed,,# participantGroup_emotionalImpairments,unknown,none,minimal,moderate,strong,mixed,,# participantGroup_performing,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_conforming,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_promoting,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_venting,unknown,very unimportant,somewhat unimportant,somewhat important,very important,mixed,,# participantGroup_interest,unknown,very little,a little,some,a lot,extremely,mixed,,# participantGroup_feelings_project,unknown,negative,neutral,positive,mixed,,# participantGroup_feelings_facilitator,unknown,negative,neutral,positive,mixed,,# participantGroup_feelings_stories,unknown,negative,neutral,positive,mixed,,# participantGroup_topic_feeling,unknown,strongly negative,negative,neutral,positive,strongly positive,mixed,,# participantGroup_topic_private,unknown,very private,medium,not private,mixed,,# participantGroup_topic_articulate,unknown,hard,medium,easy,mixed,,# participantGroup_topic_timeframe,unknown,hours,days,months,years,decades,mixed,,# aboutYou_experience,none,a little,some,a lot,,# aboutYou_help,none,a little,some,a lot,,# aboutYou_tech,none,a little,some,a lot
inviting via broadcasting,,,,,,maybe,maybe,maybe,,,,maybe,,,,,,,,,no,maybe,,,maybe,,,,no,maybe,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,maybe,,,no,,,,maybe,,very good,no,,,,no,,very good,no,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,
inviting via advertisement,,,very good,,,maybe,no,no,,,,maybe,,,,maybe,maybe,,,,no,no,maybe,,no,,,,no,maybe,,,,maybe,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,maybe,no,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,maybe,,,no,,,,,,very good,no,,,,no,,very good,no,,,,maybe,,very good,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,
inviting via spontaneous sessions,,,maybe,,,maybe,no,no,,,,very good,,,maybe,no,no,,,,maybe,maybe,,,maybe,,,,,,,,,,,,,,,maybe,no,no,,,,,,maybe,maybe,maybe,,,,,,maybe,no,maybe,,,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,very good,very good,very good,,,,,,,very good,very good,maybe,,,,,,,,,,,,very good,,,,,,,maybe,maybe,,,,maybe,,,,maybe,,,,,,,,,,,,,,very good,very good,,,maybe,,,,no,maybe,,,,,maybe,maybe,,,,,very good,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paying people to come,,,maybe,maybe,,very good,maybe,maybe,,,,very good,,,,very good,,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,no,no,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,maybe,,,,,,,maybe,no,no,,,,very good,very good,,,,,,,,maybe,very good,no,no,,,,no,,maybe,maybe,,,,,,,,,,,no,no,,,,no,,,,no,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giving people gifts,,,very good,very good,,,,,,,,very good,very good,,,,,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,very good,very good,very good,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,very good,,,,,,,,,
playing background music,,,,,,maybe,maybe,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,maybe,maybe,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,no,maybe,,
exploring fiction,,,maybe,,,,maybe,maybe,,,,no,maybe,,maybe,no,no,,,,maybe,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,no,no,,,,no,maybe,,,,maybe,,,,no,maybe,,maybe,,,,no,,,maybe,,,,maybe,,,,,,,maybe,maybe,,,,maybe,,,,,,,,,,,very good,,,,,,,,,,,,,,,no,maybe,,,,,maybe,maybe,,,,,,,,
encouraging competition,,,no,maybe,,,maybe,no,,,,no,maybe,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,no,no,,,,,,no,no,no,,,,,,maybe,no,maybe,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,,,,,,,,maybe,,,,,,,no,,,no,,,,maybe,,,,,,,no,no,,,,no,,,,no,,,no,,,,,,,,,,,,,,,,,,,no,maybe,,,,,maybe,maybe,,,,,,,,
holding virtual sessions,,,no,maybe,,,maybe,no,,,,no,maybe,,maybe,no,no,,,,,,,,,,,,no,no,maybe,,,no,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,no,maybe,,,,no,,,,maybe,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,maybe,,,,,maybe,maybe,,,,,no,no,,
holding long sessions,,,maybe,maybe,,maybe,no,no,,,,no,maybe,,maybe,no,no,,,,no,no,maybe,,no,,,,,,,,,,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,no,no,maybe,,,no,,,,no,maybe,,no,,,,no,maybe,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,maybe,,,,,maybe,maybe,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
high facilitation,,,very good,,,,very good,,,,,very good,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,no,,,maybe,,,,,,,,,,,maybe,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,
intermittent facilitation,,,maybe,,,,maybe,,,,,maybe,,,,maybe,maybe,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,maybe,,,,,,,,maybe,,,,,no,maybe,,,very good,,,,,maybe,,very good,,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,,,,,,,,,,,
available facilitation,,,maybe,,,,maybe,maybe,,,,maybe,maybe,,maybe,maybe,maybe,,,,no,maybe,,,no,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,maybe,no,maybe,,,,no,no,,,very good,maybe,,,,maybe,,very good,,,,,,,very good,,,,,maybe,,,,,,,,,,,,,,,,very good,,,,,,,maybe,maybe,,maybe,,,,,,,,maybe,,,,no,maybe,,,,,,,,,,,,,,
no facilitation,,,no,maybe,,maybe,no,no,,,,no,maybe,,maybe,no,no,,,,no,maybe,,,no,,,,no,no,maybe,,,no,,,,,,maybe,maybe,maybe,,,,,,maybe,no,no,,,,,,maybe,no,,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,no,no,maybe,,,no,,,,no,no,,no,,,,maybe,,,maybe,,,,no,maybe,,maybe,,,,,,,,,,,,,maybe,,,maybe,,,,no,maybe,,no,,,,,,,,maybe,,,,maybe,maybe,,,,,,,,,,,maybe,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
video recording,,,no,maybe,,maybe,maybe,no,,,,no,no,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,maybe,no,no,,,,,,maybe,no,,,,,,,,maybe,,,,,no,maybe,,,very good,no,,,,no,,,no,,,,no,maybe,,no,,,,,,,,,,,no,,,,,no,,,,no,maybe,,no,,,,very good,,,,,,,,,,,,,,,very good,,,,,,very good,,,,,,no,no,,
audio recording,,,maybe,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,,,,,,,,,,maybe,,,,,,,,,maybe,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,maybe,,
note taking,,,very good,,,maybe,maybe,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,no,maybe,,,,,,,,,,,very good,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twice-told stories,,,maybe,,,,maybe,maybe,,,,very good,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,very good,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,very good,,,,,very good,,,,,,,,,
timeline,,,maybe,,,,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,maybe,,very good,maybe,,,,,,,,,,,,,,,,,,
landscape,,,maybe,,,,maybe,maybe,,,,maybe,,,,very good,,,,,maybe,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,,,,maybe,,,,maybe,maybe,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,,,,no,maybe,,,,,maybe,,,,,,,,,
story elements,,,maybe,,,,maybe,maybe,,,,maybe,,,,very good,,,,,maybe,,,,,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,maybe,,,,very good,,,,,,,,,,,,,,,,,,,maybe,,,,,,,very good,,,,,,,,,,,,,,,,very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
composite stories,,,maybe,,,,maybe,maybe,,,,no,maybe,,,very good,no,,,,no,no,,,no,,,,,,,,,,,,,,,,,,,,,,,maybe,maybe,maybe,,,,,,,,,,,,,,,,,,,,,,,maybe,,,,,,,,,,,,,no,maybe,,,very good,no,,,,no,maybe,,maybe,,,,maybe,,,,,,,maybe,,,,,,,maybe,,,,,,,,,,,,,,,,maybe,,,,,,,maybe,,,,,,,,no,maybe,,,,,maybe,maybe,,,,,,,,
