Story title,Story text,Eliciting question,Feel about,Feel about,Feel about,Feel about,Scope,Come from,Come from,Come from,Needed,Needed,Needed,Needed,Needed,Got what needed,Ended well,Will remember,Amount of trust,Predictability,Position,Age group
We're paying you to talk the dog?,"I've been working from home for almost six months now, and it's going great. Except for this one thing. There's this one woman in our group, I don't know what's wrong with her but she seems like she's on a mission to prove I'm not pulling my weight. A few weeks ago we were having our weekly meeting, in the office, and we were going over what we'd all been up to. I was explaining something, and I'm like, I was walking the dog when I realized what we were doing wrong and how we could fix it. Her face gets this triumphant look, and she's like, we're paying you to walk the DOG now? I got up and went to the place where they have the coffee and stuff, just so I could calm down before I said anything. The thing is, my manager totally understands. He can see how much more productive I am now, and HE doesn't think I'm slacking off. I'm a little worried this woman is going to report me to somebody higher up or something, and then they'll want to have records of everything I do, and it'll get all crazy. Why can't people leave people alone? That was my worst moment, at least in the last month.",Best or worst moment,,frustrated,,,Pair,first hand,,,,,respect,trust,,64,45,52,62,35,Support staff,51 or older
Send out the thank you letter,"You've probably heard this one already, everybody knows it. I'm not totally sure this actually happened, but it's interesting, anyway. So there's this guy, and he has this great idea. You know how they're always saying, send us your great ideas and we'll make them work? Okay, so he stays late for weeks, and he writes up a report on his idea, with facts and figures and everything. He sends it to his boss and to two levels higher. He gets this glowing response, thank you so much, this will be so helpful. Then a few months later he has to go into the office of his boss's boss, about some payroll thing. He goes to talk to the secretary, and he noticed that she's doing some busy work, shredding some old papers. He looks on top of the box marked ""shred"" and there's his report. Worse, on top of the report is a sticky note, and it says ""send out the thank you letter."" Great story, huh?",Surprise,,frustrated,,disappointed,Team,,,rumor,,to be heard,respect,,,20,34,37,21,61,Factory worker,35-50
We hold this place together,"I'm a technical assistant to _____, and of course we technical assistants take a lot of notes. Sometimes I catch myself wanting to take notes when I talk to my family! Anyway, so I take notes on meetings my boss holds, and he also makes my services available to people below him who need some note-taking. So I take a lot of notes. That means I know a lot about what is going on around here. So this one day, he was holding a meeting, and he said something that I knew wasn't true. I knew it because of a meeting he wasn't in, that I took notes in. So I pretended that I had a problem with my computer, and asked him if he could help me, out in the hallway. Then I told him what he had got wrong. Turned out I did a very good thing, because the people in the meeting were getting really angry about what he said, and when he corrected himself (without admitting I told him), they calmed right down. You might think an assistant like me isn't important, but I've fixed a lot of problems like that behind the scenes. We hold this place together, we do.",Best or worst moment,satisfied,,,,Pair,first hand,,,,to be heard,,trust,,78,72,57,82,42,Support staff,younger than 35
What do you have these books for?,"Here's something I'm a little bit proud of, you could call it a high point. I've been managing people for quite a few years now, longer than I'm willing to say. And I've got quite the library of books, you know, best practices and so on. But one thing I've always made sure of is, for every book I buy that's written for managers I try to find one that's NOT written for managers. That's for regular employees. Like, how to get along with difficult people, or how to manage your boss, and things like that. So this one day, this guy comes into my office. He's a real rabble rouser, always speaking truth to power and all that. I might have respect for him, but he tries to get other people angry without fully informing them. Anyway, so he comes into my office, and he sees my bookshelf, and he says, what do you have all THESE books for? I told him, that I want to help everyone I work with, and I need to understand their needs. I could see he was impressed but he didn't want to admit it. It was soon after that when he started to work with me more than against me. So I was proud of that.",Best or worst moment,satisfied,,,,Pair,first hand,,,,,respect,,,55,72,80,34,55,Manager,51 or older
How the light shines,"So I like to think of myself as a photographer. It's not my day job or anything, obviously I work here, but I like doing it and I have to say I'm good at it. A few months ago some marketing people came by, and they said they were doing a brochure about how we produce our product. They wanted to get some good shots and descriptions of the various machines and how they're efficient and so on. I was nervous saying, but I said, well, I've got all these pictures I've taken at work. I've been interested in how the machines look in different light, like morning or evening and things. I love it how the light shines off the different surfaces, and I've also done some fun stuff with long exposures with the machines that work really fast. Anyway, so this guy looked at my photos, and he says to the other guy, we've got what we need right here! I was so proud. So now my photos are in the brochure, and I got paid for my photography for the first time. ",Best or worst moment,satisfied,,supported,,Individual,first hand,,,,to be heard,respect,,,71,77,72,54,28,Factory worker,younger than 35
The green stuff,"A surprise? Probably the time I found the answer in the trash. I was working late at night, on a problem I could not solve. The hazardous waste guy comes in, and he's like, should I take away all this green stuff? I went right over there and hugged him. Because green was what I had been trying to create all that time. It meant the process DID work, only it took a lot longer than I expected. You think everybody has their job, right, and nobody can help anybody? Well, that guy helped me. Thank goodness he said something.",Surprise,,,supported,,Pair,first hand,,,help,,,,,62,67,42,56,55,Engineer,51 or older
Too much surprise,"I'll tell you about surprise. It's my boss, popping up on instant messaging every ten minutes, and I can't get any damn work done. There is entirely too much surprise in my work. I think we need a lot LESS surprise around here.",Surprise,,frustrated,,,Pair,first hand,,,,,respect,trust,,30,32,35,21,81,Support staff,35-50
The fancy people,"So I'm working along, staring down at the line, not thinking much, and I hear voices, so I look up and see some people on a tour of the plant. That's nothing, so I look down again, but then I notice something. The woman who's leading the tour, one of those fancy marketing people, has taken off her safety glasses and is waving them around. I start pointing at my glasses, trying to get her attention, but she doesn't notice. Then here's the funny part. All the people on the tour DO notice, and they start laughing and yelling at her. Once she figures it out, her face goes beet red. Made my day. I caught out the fancy people.",Best or worst moment,satisfied,,,,Pair,first hand,,,,to be heard,,,,66,67,35,21,73,Factory worker,younger than 35
The gazebo,"The gazebo. That was my best moment. I'm not sure if you all know how many years it took us to get them to let us do that. Harry and me, we did it all, our own time, our own money. And now we have a nice place to take our breaks, out in the fresh air, even when it's raining. But boy oh boy, the hoops they made us jump through. Safety and inspections and plans and did we know what we were doing, and it just never ended. But we didn't give up, and now there's just about a dozen people sitting out there most times of the day. ",Best or worst moment,satisfied,,,,Team,first hand,,,help,,,trust,,50,78,60,31,67,Factory worker,35-50
Knock me over with a feather,"Everybody here knows about the chicken days, but I'll tell it again anyway. So as you know, the town has been putting on its chicken days festival for, oh, who knows how long. And for all that time our great company couldn't be bothered to have anything to do with it. This year for the first time our new district manager wanted in. She was like, let's give back to the community. And there was a float, and as you know it won the contest, and everything. So at the parade I was sitting next to some old-timers from the fire station, and one of these guys was like, you could knock me over with a feather. He thought it would never happen. The problem is, I'm not sure how much longer our new district manager will be around. You can only get away with so much of this local stuff. I'll bet she's going to get called away to ""important business"" pretty soon.",Surprise,satisfied,frustrated,,,Individual,first hand,,,,,respect,,,65,59,41,52,58,Factory worker,35-50
His own toolbox,"This happened a while back, I'm talking 20 years. So I knew this guy, had been at the plant for thirty years, and he had his own way of doing everything. We weren't supposed to bring our own tools, but he had his little toolbox tucked away somewhere. So this machine breaks down, and out comes the toolbox, and he fixed it. We had to fill in a report back then, just like we do now, and they wanted to know how it got fixed. So we put in something fake, like always. But this time they noticed. They came down to inspect the machine, and, I'm sorry to say it, but while his fix did work, he kind of banged up the side of the machine. Oh boy did they give him hell. I'm surprised he didn't lose his job. I ... didn't defend him. I know he did what he thought was best, but it wasn't HIS machine, even though he worked it every day. I still can't decide if that was my best or worst moment ever. It might be both.",Best or worst moment,,frustrated,,,Individual,first hand,,,,,,trust,options,45,32,82,34,32,Factory worker,51 or older
A loser like me,"I was surprised when I got hired to work here! I thought I had a terrible job interview. I had just come off my business failing, and I was pretty depressed about it. So when the guy asked me about it, I just let loose and talked about all the stupid things I had done. I walked out of there thinking, they'll never hire a loser like me. The next week, the same guy calls me up and says he wants me on his team. I was so surprised that I blurted out, Why? He said, because you've had your own business, and you know what it means to make a mistake and learn from it. That was seventeen years ago, and you know, I think he was right. Not everybody knows how to learn from what they do wrong. Now I look for people like that to work on my own team.",Surprise,satisfied,,,,Pair,first hand,,,,to be heard,,,,78,69,58,56,21,Manager,35-50
Dirty hands guy,"This is going a ways back, but we used to have this guy in our group who we called the dirty jobs guy. Every time there was something to do where he might get his hands dirty, you know, opening up a machine or something, he'd be like, I don't do dirty work because I'm too qualified to do that. Guess where dirty hands guy is now? I have no idea, because when they were cutting costs he was obviously the first to go. If you can't pitch in, you're not worth much. ",Responsibility,,,,disappointed,Individual,first hand,,,help,,,trust,,19,42,36,31,51,Factory worker,51 or older
Not as simple as it looks,"You want to hear about surprises? I've got one. I was promoted to supervisor. Sure, I knew what I was doing, and I was good at helping other people. But everybody always told me that the only way to get ahead around here was to have lots of official credentials. Degrees, you know, and certificates, and awards. I didn't have any of those, but somehow somebody was paying attention, and I got promoted anyway. I'm not complaining, but, you know, this is a funny place to work. It seems on the outside like it's all about the official forms and rubber stamps, at least that's what everybody says. But there are people underneath all of that formality, and they're the ones really running the place. It's not as simple as it looks.",Surprise,,,supported,,System,first hand,,,,,,trust,options,67,70,82,65,18,Manager,35-50
It's not just about the paperwork,"So I'm a QA technician. My job is to test batches of the various products to look for contamination or low quality and so on. Most of the time it feels like a thankless job. I mean, sometimes when I meet people from the line, who take pride in doing things right, they seem almost offended that I'm even checking what they do. But there was this one time. It was a Saturday afternoon, near the end of my shift, and I found some contamination in a sample. I did what I was supposed to do, pushed the right buttons and all, but you know, I never really believed anybody would pay attention. Well, they DID pay attention. The whole line suddenly stopped, and ten people who had already gone home came back in to find out what happened. It turned out it was one machine that had got some oil into the product, but wow, I don't know, I just never realized anybody cared whether I did my job right or not. After that I got a lot more careful, because I realized it's not just about the paperwork. ",Surprise,satisfied,,supported,,Team,first hand,,,,to be heard,,trust,,78,72,79,61,28,Engineer,younger than 35
Right now,"Right now. This. This could be my best moment, or it could be my worst. I can't recall anybody EVER asking me about ""what has happened to you"" at work before. Sure, I've checked the boxes a million times, but nobody ever asked what happened. This could be great if they actually listen to us for once. This could be awful if the whole thing's just a sham. It better not be a sham.",Best or worst moment,,frustrated,,,System,first hand,,,,to be heard,,trust,,51,50,21,52,10,Support staff,younger than 35
My boss,"My boss. She's responsible. She runs interference for me. She says she needs me, because I have this uncanny way of knowing exactly what she needs to know at any time, and getting it ready for her. I do, I guess. I know what I'm doing. But I do have issues, related to my disability, and sometimes I can't tick off all the boxes I'm supposed to, you know, about work hours and where and when I work. She doesn't care about any of that. She says I take care of her and she takes care of me. It works. I call that responsibility.",Responsibility,,,supported,,Pair,first hand,,,help,to be heard,,,,90,70,90,92,47,Support staff,35-50
